Site,Mean depth (cm),Flow@06D (m/s),Mean substrate (mm),Silt/clay (proportion),Fine&medium sand (proportion),Sand (proportion),Sand+Finegravel (proportion),Fine gravel (proportion),Coarse (proportion),Water temperature (o C),Turbidity (cm)
1,84.33333333,0.052222222,70.00680556,0,0,0,0,0,0.777777778,17,53
2,74.4,0.124666667,77,0,0,0,0,0,1,16.8,54
3,76.46666667,0.254666667,99.86666667,0,0,0,0,0,1,16.6,58
4,85.75,0.22125,95.125,0,0,0,0,0,1,18.2,100
5,88.44444444,0.138888889,0.222138889,0,0.888888889,0.888888889,0.888888889,0,0,20.7,59
6,100.0833333,0.184166667,0.359375,0,0.916666667,1,1,0,0,20.9,50
7,87.33333333,0.147777778,0.593736111,0,0.333333333,1,1,0,0,21,63
8,36.06666667,0.125333333,30.8104,0,0.066666667,0.133333333,0.2,0.066666667,0.733333333,24.6,72
9,49.66666667,0.64,47,0,0,0,0,0,1,25.1,67
10,40.46666667,0.465333333,25.53333333,0,0,0,0,0,1,25.2,60
11,78,0.194666667,23.9437,0,0.4,0.4,0.4,0,0.533333333,25.1,88
12,89.27272727,0.117272727,26.26413636,0,0.090909091,0.181818182,0.181818182,0,0.636363636,22.5,110
13,64.22222222,0.057777778,0.270833333,0,1,1,1,0,0,22.9,102
14,90.4,0.403333333,14.4875,0,0.333333333,0.333333333,0.333333333,0,0.666666667,15.5,94
15,73.66666667,0.361333333,15.16666667,0,0.2,0.266666667,0.266666667,0,0.733333333,16,97
16,48.8,0.452666667,29.66666667,0,0,0,0.066666667,0.066666667,0.933333333,16.7,97
17,94.2,0.191333333,21.24998333,0,0.266666667,0.266666667,0.333333333,0.066666667,0.666666667,18.1,100
18,70.2,0.253333333,95.53741667,0,0,0,0.066666667,0.066666667,0.8,18.8,94
19,97.85714286,0.441428571,51.42857143,0,0,0,0,0,1,18.1,70
20,89.88888889,0.454444444,55,0,0,0,0,0,1,18.7,32
21,73.88888889,0.172222222,0.229138889,0,1,1,1,0,0,19.9,98
22,75,0.216,11.8,0,0,0.066666667,0.266666667,0.2,0.733333333,21.1,100
23,75.33333333,0.055833333,55.83333333,0,0,0,0,0,1,19.8,96
24,76.25,0.160833333,7.53384375,0,0.333333333,0.416666667,0.5,0.083333333,0.5,22.1,103
25,82.2,0.082666667,18.17491667,0,0.133333333,0.133333333,0.2,0.066666667,0.666666667,21.5,99
26,85.61538462,0.030769231,37.15620192,0,0,0,0.384615385,0.384615385,0.538461538,20.8,99
27,98.6,0.356,28,0,0,0,0,0,1,26.1,46
28,83.93333333,0.324,18.07916667,0,0.066666667,0.066666667,0.266666667,0.2,0.733333333,26.3,42
29,61.26666667,0.340666667,16.25,0,0,0.066666667,0.466666667,0.4,0.533333333,26.5,45
30,100.6666667,0.399166667,53,0,0,0,0,0,1,23.4,38
31,73.66666667,0.493333333,22.5,0,0,0,0,0,1,23.1,37
32,66.5,0.268333333,4.895833333,0,0.333333333,0.333333333,0.666666667,0.333333333,0.333333333,23,39
33,55.46666667,0.325333333,19.8125,0,0.066666667,0.066666667,0.133333333,0.066666667,0.866666667,25,62
34,57,0.455833333,22.5,0,0,0,0.166666667,0.166666667,0.833333333,24.4,61
35,95.33333333,0.161111111,13.4375,0,0.333333333,0.333333333,0.333333333,0,0.666666667,26,64
